Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,NIFTY,35219,OPTIDX,CE,30000,NIFTY,NIFTY JUN 30000 CE,NIFTY26JUN25C30000,2025-06-26,75,0.05
NFO,nse_fo,NIFTY,35221,OPTIDX,CE,30000,NIFTY,NIFTY 24th DEC 30000 CE,NIFTY24DEC25C30000,2025-12-24,75,0.05
NFO,nse_fo,NIFTY,35222,OPTIDX,PE,30000,NIFTY,NIFTY 24th DEC 30000 PE,NIFTY24DEC25P30000,2025-12-24,75,0.05
NFO,nse_fo,BSE,35238,OPTSTK,CE,6100,BSE LIMITED,BSE MAY 6100 CE,BSE29MAY25C6100,2025-05-29,125,0.05
NFO,nse_fo,BSE,35239,OPTSTK,PE,6100,BSE LIMITED,BSE MAY 6100 PE,BSE29MAY25P6100,2025-05-29,125,0.05
NFO,nse_fo,BSE,35240,OPTSTK,CE,6300,BSE LIMITED,BSE MAY 6300 CE,BSE29MAY25C6300,2025-05-29,125,0.05
NFO,nse_fo,BSE,35242,OPTSTK,PE,6300,BSE LIMITED,BSE MAY 6300 PE,BSE29MAY25P6300,2025-05-29,125,0.05
NFO,nse_fo,BSE,35243,OPTSTK,CE,6500,BSE LIMITED,BSE MAY 6500 CE,BSE29MAY25C6500,2025-05-29,125,0.05
NFO,nse_fo,BSE,35244,OPTSTK,PE,6500,BSE LIMITED,BSE MAY 6500 PE,BSE29MAY25P6500,2025-05-29,125,0.05
NFO,nse_fo,BSE,35245,OPTSTK,CE,6700,BSE LIMITED,BSE MAY 6700 CE,BSE29MAY25C6700,2025-05-29,125,0.05
NFO,nse_fo,BSE,35247,OPTSTK,PE,6700,BSE LIMITED,BSE MAY 6700 PE,BSE29MAY25P6700,2025-05-29,125,0.05
NFO,nse_fo,BSE,35249,OPTSTK,CE,7000,BSE LIMITED,BSE MAY 7000 CE,BSE29MAY25C7000,2025-05-29,125,0.05
NFO,nse_fo,BSE,35250,OPTSTK,PE,7000,BSE LIMITED,BSE MAY 7000 PE,BSE29MAY25P7000,2025-05-29,125,0.05
NFO,nse_fo,BSE,35255,OPTSTK,CE,7000,BSE LIMITED,BSE JUN 7000 CE,BSE26JUN25C7000,2025-06-26,125,0.05
NFO,nse_fo,BSE,35257,OPTSTK,PE,7000,BSE LIMITED,BSE JUN 7000 PE,BSE26JUN25P7000,2025-06-26,125,0.05
NFO,nse_fo,DELHIVERY,35324,OPTSTK,CE,350,DELHIVERY LIMITED,DELHIVERY JUN 350 CE,DELHIVERY26JUN25C350,2025-06-26,1525,0.05
NFO,nse_fo,DELHIVERY,35325,OPTSTK,PE,350,DELHIVERY LIMITED,DELHIVERY JUN 350 PE,DELHIVERY26JUN25P350,2025-06-26,1525,0.05
NFO,nse_fo,HAL,35366,OPTSTK,CE,5250,HINDUSTAN AERONAUTICS LTD,HAL MAY 5250 CE,HAL29MAY25C5250,2025-05-29,150,0.05
NFO,nse_fo,HAL,35367,OPTSTK,PE,5250,HINDUSTAN AERONAUTICS LTD,HAL MAY 5250 PE,HAL29MAY25P5250,2025-05-29,150,0.05
NFO,nse_fo,HCLTECH,35369,OPTSTK,PE,1140,HCL TECHNOLOGIES LTD,HCLTECH MAY 1140 PE,HCLTECH29MAY25P1140,2025-05-29,350,0.05
NFO,nse_fo,HINDALCO,35401,OPTSTK,PE,470,HINDALCO  INDUSTRIES  LTD,HINDALCO MAY 470 PE,HINDALCO29MAY25P470,2025-05-29,1400,0.05
NFO,nse_fo,JSWENERGY,35559,OPTSTK,PE,390,JSW ENERGY LIMITED,JSWENERGY MAY 390 PE,JSWENERGY29MAY25P390,2025-05-29,750,0.05
NFO,nse_fo,AMBUJACEM,35648,OPTSTK,CE,650,AMBUJA CEMENTS LTD,AMBUJACEM MAY 650 CE,AMBUJACEM29MAY25C650,2025-05-29,900,0.05
